Matricula_Aluno,Count,Country,State,Cidade,CEP,Lat Long,Latitude,Longitude,Genero,Aluno_Bolsista,Responsavel_com_Parceiro,Aluno_Possui_Dependentes,Meses_na_Escola,Participa_Atividade_Extra,Multiplas_Atividades_Extra,Modalidade_Ensino,Apoio_Psicopedagogico,Reforco_Escolar,Seguro_Material_Didatico,Suporte_TI_Plataforma,Acesso_Aulas_Gravadas,Acesso_Biblioteca_Digital,Tipo_Contrato_Matricula,Comunicados_Digitais,Forma_Pagamento_Mensalidade,Valor_Mensalidade,Total_Pago_Curso,Situacao,Desistencia,Risco_de_Desistencia,Valor_Total_Esperado_Aluno,Churn Reason
4950-BDEUX,1,United States,California,Apple Valley,92308,"34.424926, -117.184503",34.424926,-117.184503,Male,Não,Não,Não,35,Não,Não participa,Presencial,Não,Não,Sim,Não,Sim,Sim,Mensal,Não,Boleto Digital,49.2,1701.65,Ativo,0,40,2782,
7993-NQLJE,1,United States,California,Glenn,95943,"39.597975, -122.032248",39.597975,-122.032248,Male,Não,Sim,Sim,15,Sim,Não,Híbrido,Sim,Não,Não,Não,Não,Não,Mensal,Não,Boleto Impresso,75.1,1151.55,Ativo,0,60,4634,
7321-ZNSLA,1,United States,California,Cottonwood,96022,"40.336392, -122.448533",40.336392,-122.448533,Male,Não,Sim,Sim,13,Não,Não participa,Presencial,Sim,Sim,Não,Sim,Não,Não,Plano de Ciclo Completo,Não,Boleto Impresso,40.55,590.35,Ativo,0,27,2898,
4922-CVPDX,1,United States,California,Westminster,92683,"33.752591, -117.993661",33.752591,-117.993661,Female,Não,Sim,Não,26,Sim,Não,Presencial,Não,Sim,Sim,Não,Sim,Sim,Plano de Ciclo Completo,Sim,Cartão de Crédito Recorrente,73.5,1905.7,Ativo,0,67,3596,
2903-YYTBW,1,United States,California,Hemet,92545,"33.734933, -117.044145",33.734933,-117.044145,Male,Não,Sim,Sim,1,Sim,Não,Presencial,Não,Não,Não,Não,Não,Não,Mensal,Não,Boleto Digital,44.55,44.55,Ativo,0,48,3408,
8414-OOEEL,1,United States,California,Oakland,94606,"37.792489, -122.244314",37.792489,-122.244314,Male,Não,Não,Sim,66,Sim,Não,Presencial,Não,Sim,Sim,Sim,Sim,Sim,Plano de Ciclo Completo,Sim,Cartão de Crédito Recorrente,79.5,5196.1,Ativo,0,66,4285,
8562-GHPPI,1,United States,California,San Leandro,94577,"37.717196, -122.159338",37.717196,-122.159338,Female,Não,Não,Não,1,Sim,Não,EAD,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Mensal,Não,Cartão de Crédito Recorrente,19.8,19.8,Ativo,0,22,3129,
8017-UVSZU,1,United States,California,Calabasas,91302,"34.130861, -118.68346",34.130861,-118.68346,Female,Não,Sim,Não,40,Sim,Sim,Presencial,Não,Sim,Não,Não,Não,Não,Mensal,Não,Cartão de Crédito Recorrente,56.6,2379.1,Ativo,0,72,3359,
1972-XMUWV,1,United States,California,Miramonte,93641,"36.696759, -119.024051",36.696759,-119.024051,Female,Não,Sim,Não,65,Sim,Não,Presencial,Não,Não,Não,Sim,Sim,Não,Plano de Ciclo Completo,Sim,Cartão de Crédito Recorrente,59.8,3808.2,Ativo,0,37,6034,
2054-PJOCK,1,United States,California,Corona,92881,"33.833686, -117.513063",33.833686,-117.513063,Female,Não,Não,Não,60,Sim,Sim,Presencial,Não,Não,Sim,Sim,Sim,Sim,Anual,Não,Cartão de Crédito Recorrente,80.55,4847.05,Ativo,0,52,4159,
8250-ZNGGW,1,United States,California,Rio Vista,94571,"38.148862, -121.737696",38.148862,-121.737696,Female,Sim,Não,Não,5,Sim,Não,Presencial,Sim,Sim,Não,Sim,Não,Não,Mensal,Não,Cartão de Crédito Recorrente,59.9,287.85,Ativo,0,35,3662,
2075-RMJIK,1,United States,California,Santa Ysabel,92070,"33.174725, -116.743329",33.174725,-116.743329,Female,Não,Sim,Sim,5,Sim,Não,Presencial,Sim,Não,Não,Não,Não,Não,Mensal,Sim,Boleto Impresso,49.4,232.55,Ativo,0,44,5756,
6629-LADHQ,1,United States,California,Santa Barbara,93109,"34.406256, -119.726936",34.406256,-119.726936,Female,Não,Não,Não,2,Sim,Não,Presencial,Sim,Não,Não,Não,Não,Não,Mensal,Não,Boleto Impresso,50.95,123.05,Ativo,0,37,5968,
1810-MVMAI,1,United States,California,San Jose,95113,"37.333851, -121.891147",37.333851,-121.891147,Male,Não,Sim,Sim,30,Sim,Sim,Presencial,Sim,Sim,Sim,Sim,Não,Não,Mensal,Não,Boleto Digital,67.6,2000.2,Ativo,0,33,4104,
0396-YCHWO,1,United States,California,Sacramento,95829,"38.486502, -121.334051",38.486502,-121.334051,Male,Não,Sim,Não,36,Sim,Sim,Híbrido,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Boleto Digital,95.4,3474.2,Ativo,0,44,5111,
1303-SRDOK,1,United States,California,Rio Dell,95562,"40.485849, -124.163234",40.485849,-124.163234,Female,Não,Sim,Sim,55,Sim,Não,Híbrido,Não,Não,Não,Não,Não,Não,Plano de Ciclo Completo,Sim,Cartão de Crédito Recorrente,69.05,3842.6,Ativo,0,67,4318,
2455-USLMV,1,United States,California,Redlands,92373,"34.003243, -117.138286",34.003243,-117.138286,Female,Não,Não,Não,31,Sim,Sim,Híbrido,Sim,Não,Sim,Não,Não,Não,Mensal,Sim,Cartão de Crédito Recorrente,84.75,2613.4,Ativo,0,35,3727,
5697-GOMBF,1,United States,California,Julian,92036,"32.980678, -116.262854",32.980678,-116.262854,Female,Sim,Sim,Sim,28,Não,Não participa,Presencial,Não,Não,Não,Não,Sim,Não,Mensal,Sim,Boleto Digital,35.9,973.65,Ativo,0,34,5444,
7469-LKBCI,1,United States,California,Los Angeles,90013,"34.044639, -118.240413",34.044639,-118.240413,Male,Não,Não,Não,16,Sim,Não,EAD,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Plano de Ciclo Completo,Não,Cartão de Crédito Recorrente,18.95,326.8,Ativo,0,39,4726,
7787-BNTZM,1,United States,California,Comptche,95427,"39.239818, -123.565432",39.239818,-123.565432,Male,Não,Não,Não,6,Sim,Não,EAD,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Mensal,Não,Débito Automático,20.15,130.5,Ativo,0,76,5761,
6726-WEXXK,1,United States,California,Fields Landing,95537,"40.726949, -124.217378",40.726949,-124.217378,Male,Sim,Sim,Não,27,Sim,Sim,Híbrido,Sim,Não,Sim,Não,Não,Não,Anual,Sim,Boleto Digital,85.9,2220.1,Ativo,0,63,5755,
5995-LFTLE,1,United States,California,Lower Lake,95457,"38.925545, -122.549083",38.925545,-122.549083,Male,Não,Não,Não,58,Sim,Sim,EAD,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Plano de Ciclo Completo,Sim,Cartão de Crédito Recorrente,25.3,1474.35,Ativo,0,30,4477,
